condition,seed,total_steps,final_return,auc_return,n_episodes,seconds,curve_8000,curve_16000,curve_24000,curve_32000,curve_40000,curve_48000,curve_56000,curve_64000,curve_72000,curve_80000,curve_88000,curve_96000,curve_104000,curve_112000,curve_120000
randstep_4,0,120000,-90.76666666666667,-135.93555555555557,1073,103.599924325943,-489.0,-254.1,-118.8,-117.5,-105.63333333333334,-106.23333333333333,-95.4,-101.46666666666667,-95.83333333333333,-95.83333333333333,-101.6,-88.2,-84.6,-95.66666666666667,-89.16666666666667
randstep_4,1,120000,-78.56666666666666,-138.83249999999998,1080,104.35626578330994,-493.6875,-251.86666666666667,-168.4,-126.73333333333333,-112.6,-98.16666666666667,-95.23333333333333,-104.0,-97.16666666666667,-99.36666666666666,-87.46666666666667,-92.23333333333333,-85.06666666666666,-88.76666666666667,-81.73333333333333
randstep_4,2,120000,-81.03333333333333,-117.9390643274854,1157,102.41291284561157,-404.05263157894734,-130.86666666666667,-103.56666666666666,-115.63333333333334,-98.66666666666667,-109.5,-96.13333333333334,-86.76666666666667,-90.7,-89.16666666666667,-87.9,-91.73333333333333,-88.5,-92.2,-83.7
randstep_4,3,120000,-84.5,-144.14588235294116,1031,103.188796043396,-465.5882352941176,-314.8333333333333,-170.0,-131.03333333333333,-105.83333333333333,-111.06666666666666,-108.73333333333333,-103.36666666666666,-93.3,-93.56666666666666,-97.43333333333334,-87.73333333333333,-92.4,-96.2,-91.1
randstep_4,4,120000,-97.46666666666667,-314.9977777777778,642,102.85933017730713,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-490.6,-442.3,-159.83333333333334,-111.46666666666667,-123.33333333333333,-113.06666666666666,-95.16666666666667,-97.66666666666667,-91.53333333333333
random_5,0,120000,-91.3,-163.0530158730159,915,103.20604729652405,-375.0952380952381,-250.53333333333333,-294.73333333333335,-304.0,-129.06666666666666,-135.6,-136.93333333333334,-128.6,-106.83333333333333,-97.93333333333334,-97.13333333333334,-105.83333333333333,-99.26666666666667,-88.86666666666666,-95.36666666666666
random_5,1,120000,-88.6,-190.4577777777778,932,103.54121279716492,-500.0,-454.46666666666664,-433.0,-349.4,-136.46666666666667,-117.43333333333334,-103.83333333333333,-113.2,-106.66666666666667,-95.03333333333333,-97.26666666666667,-90.33333333333333,-86.86666666666666,-87.76666666666667,-85.13333333333334
random_5,2,120000,-86.63333333333334,-179.44444444444443,988,102.68775629997253,-500.0,-500.0,-447.3666666666667,-140.93333333333334,-125.26666666666667,-108.03333333333333,-113.86666666666666,-98.36666666666666,-88.36666666666666,-93.83333333333333,-100.76666666666667,-96.1,-92.56666666666666,-100.7,-85.5
random_5,3,120000,-103.5,-158.2447222222222,885,103.0183458328247,-497.9375,-265.26666666666665,-146.3,-138.13333333333333,-117.76666666666667,-134.33333333333334,-138.93333333333334,-142.33333333333334,-112.8,-113.9,-116.5,-117.76666666666667,-121.2,-105.63333333333334,-104.86666666666666
random_5,4,120000,-108.6,-169.3177777777778,826,103.53292036056519,-325.5,-339.3333333333333,-328.9,-195.4,-164.4,-131.3,-115.13333333333334,-124.0,-113.16666666666667,-125.06666666666666,-122.33333333333333,-109.4,-129.86666666666667,-108.76666666666667,-107.2
randstep_5,0,120000,-102.4,-116.43743589743592,1114,103.00361347198486,-300.96153846153845,-143.46666666666667,-123.56666666666666,-109.23333333333333,-111.86666666666666,-109.46666666666667,-99.4,-101.8,-99.93333333333334,-92.66666666666667,-88.2,-86.6,-86.83333333333333,-90.16666666666667,-102.4
randstep_5,1,120000,-83.96666666666667,-169.88666666666668,1022,102.71270251274109,-496.5,-496.3,-383.3,-135.0,-111.26666666666667,-100.03333333333333,-93.43333333333334,-92.46666666666667,-89.03333333333333,-91.76666666666667,-88.26666666666667,-98.66666666666667,-95.83333333333333,-91.86666666666666,-84.56666666666666
randstep_5,2,120000,-85.16666666666667,-105.80153846153847,1217,102.99603390693665,-306.4230769230769,-102.93333333333334,-95.2,-89.1,-94.7,-86.0,-94.63333333333334,-103.0,-99.76666666666667,-94.9,-80.03333333333333,-85.9,-88.46666666666667,-82.73333333333333,-83.23333333333333
